時刻,時間 (ミリ秒),コンピュータ,理由,タグ,処理,ランク,方向,インタフェース,フレームの種類,プロトコル,フラグ,送信元IP,送信元MAC,送信元ポート,送信先IP,送信先MAC,送信先ポート,パケットサイズ,繰り返しカウント,終了時刻,フロー,ステータス,備考,データフラグ,データインデックス,データ
2015-02-16 21:53:07,1424091187479771,10.10.46.88 (セキュリティ１),切断された接続上のパケット,,拒否,50,受信,06:77:6B:F6:A5:AD,IP,TCP,ACK PSH DF=1,54.249.86.41,02:E9:E5:40:00:03,41015,10.10.17.241,06:77:6B:F6:A5:AD,80,572,1,,接続フロー,138,,8,40564,06776BF6A5AD02E9E540000308004500022E5D9140003F06000036F956290A0A11F1A03700506CC115B2B312F4F980180073000000000101080AA15352BC02553F41
2015-02-16 21:53:14,1424091194624434,10.10.46.88 (セキュリティ１),切断された接続上のパケット,,拒否,50,受信,06:77:6B:F6:A5:AD,IP,TCP,ACK PSH DF=1,210.128.113.251,02:E9:E5:40:00:03,62442,10.10.17.241,06:77:6B:F6:A5:AD,80,588,1,,接続フロー,138,,8,40566,06776BF6A5AD02E9E540000308004500023E399C400035060000D28071FB0A0A11F1F3EA005060A1FDE7BDC9267C80180073000000000101080A9212CF0E0255420B
2015-02-16 21:53:16,1424091196652395,10.10.46.88 (セキュリティ１),切断された接続上のパケット,,拒否,50,受信,06:77:6B:F6:A5:AD,IP,TCP,ACK PSH DF=1,54.249.86.65,02:E9:E5:40:00:03,65128,10.10.17.241,06:77:6B:F6:A5:AD,80,580,1,,接続フロー,138,,8,40568,06776BF6A5AD02E9E5400003080045000236572B40003F06000036F956410A0A11F1FE680050F5C41CA5F2812A2680180073000000000101080AA16E4104025542D6
2015-02-16 21:53:16,1424091196823992,10.10.46.88 (セキュリティ１),切断された接続上のパケット,,拒否,50,受信,06:77:6B:F6:A5:AD,IP,TCP,ACK PSH DF=1,54.249.86.60,02:E9:E5:40:00:03,55964,10.10.17.241,06:77:6B:F6:A5:AD,80,572,1,,接続フロー,138,,8,40570,06776BF6A5AD02E9E540000308004500022EDEF640003F06000036F9563C0A0A11F1DA9C00505E25BDBFBC96551580180073000000000101080AA15D69B3025542E7
2015-02-16 21:53:17,1424091197073587,10.10.46.88 (セキュリティ１),切断された接続上のパケット,,拒否,50,受信,06:77:6B:F6:A5:AD,IP,TCP,ACK PSH DF=1,210.128.113.251,02:E9:E5:40:00:03,15359,10.10.17.241,06:77:6B:F6:A5:AD,80,646,1,,接続フロー,138,,8,40572,06776BF6A5AD02E9E54000030800450002781DA6400035060000D28071FB0A0A11F13BFF00509C550772706BD3D580180073000000000101080A49DE1D7102554300
2015-02-16 21:53:17,1424091197744374,10.10.46.88 (セキュリティ１),切断された接続上のパケット,,拒否,50,受信,06:77:6B:F6:A5:AD,IP,TCP,ACK PSH DF=1,210.128.113.251,02:E9:E5:40:00:03,24270,10.10.17.241,06:77:6B:F6:A5:AD,80,646,1,,接続フロー,138,,8,40574,06776BF6A5AD02E9E54000030800450002787849400035060000D28071FB0A0A11F15ECE0050A847CF243878F36080180073000000000101080A9211B0FE02554342
2015-02-16 21:53:18,1424091198243564,10.10.46.88 (セキュリティ１),切断された接続上のパケット,,拒否,50,受信,06:77:6B:F6:A5:AD,IP,TCP,ACK PSH DF=1,54.249.63.158,02:E9:E5:40:00:03,38323,10.10.17.241,06:77:6B:F6:A5:AD,80,578,1,,接続フロー,138,,8,40576,06776BF6A5AD02E9E5400003080045000234785E40003F06000036F93F9E0A0A11F195B300504DEAA9604063195B8018008D000000000101080A9266DABE02554375
2015-02-16 21:53:18,1424091198259164,10.10.46.88 (セキュリティ１),切断された接続上のパケット,,拒否,50,受信,06:77:6B:F6:A5:AD,IP,TCP,ACK PSH DF=1,210.128.113.251,02:E9:E5:40:00:03,28388,10.10.17.241,06:77:6B:F6:A5:AD,80,646,1,,接続フロー,138,,8,40578,06776BF6A5AD02E9E5400003080045000278A31A400035060000D28071FB0A0A11F16EE40050B7B14698608B683280180073000000000101080A49D2E33002554376
2015-02-16 21:53:18,1424091198649157,10.10.46.88 (セキュリティ１),切断された接続上のパケット,,拒否,50,受信,06:77:6B:F6:A5:AD,IP,TCP,ACK PSH DF=1,54.249.86.65,02:E9:E5:40:00:03,65130,10.10.17.241,06:77:6B:F6:A5:AD,80,580,1,,接続フロー,138,,8,40580,06776BF6A5AD02E9E5400003080045000236D80B40003F06000036F956410A0A11F1FE6A0050591A9751BFB0525480180073000000000101080AA16E48D90255439E
2015-02-16 21:53:18,1424091198836353,10.10.46.88 (セキュリティ１),切断された接続上のパケット,,拒否,50,受信,06:77:6B:F6:A5:AD,IP,TCP,ACK PSH DF=1,54.249.86.60,02:E9:E5:40:00:03,55965,10.10.17.241,06:77:6B:F6:A5:AD,80,572,1,,接続フロー,138,,8,40582,06776BF6A5AD02E9E540000308004500022EFBB240003F06000036F9563C0A0A11F1DA9D00501AD290A678204A4E80180073000000000101080AA15D7188025543B0
2015-02-16 21:53:21,1424091201488302,10.10.46.88 (セキュリティ１),切断された接続上のパケット,,拒否,50,受信,06:77:6B:F6:A5:AD,IP,TCP,ACK PSH DF=1,54.249.86.41,02:E9:E5:40:00:03,41059,10.10.17.241,06:77:6B:F6:A5:AD,80,572,1,,接続フロー,138,,8,40584,06776BF6A5AD02E9E540000308004500022EC1E340003F06000036F956290A0A11F1A063005045354F314771A62A80180073000000000101080AA1538970025544B9
2015-02-16 21:53:22,1424091202455483,10.10.46.88 (セキュリティ１),切断された接続上のパケット,,拒否,50,受信,06:77:6B:F6:A5:AD,IP,TCP,ACK PSH DF=1,210.128.113.251,02:E9:E5:40:00:03,29105,10.10.17.241,06:77:6B:F6:A5:AD,80,572,1,,接続フロー,138,,8,40586,06776BF6A5AD02E9E540000308004500022EEC46400035060000D28071FB0A0A11F171B1005091A3C240C78963828018002E000000000101080A49B2579502554519
2015-02-16 21:53:23,1424091203656660,10.10.46.88 (セキュリティ１),切断された接続上のパケット,,拒否,50,受信,06:77:6B:F6:A5:AD,IP,TCP,ACK PSH DF=1,210.128.113.251,02:E9:E5:40:00:03,11448,10.10.17.241,06:77:6B:F6:A5:AD,80,588,1,,接続フロー,138,,8,40588,06776BF6A5AD02E9E540000308004500023ED87F400035060000D28071FB0A0A11F12CB800502D94FBD68CF3D07580180073000000000101080A92142D3A02554591
2015-02-16 21:53:26,1424091206121413,10.10.46.88 (セキュリティ１),切断された接続上のパケット,,拒否,50,受信,06:77:6B:F6:A5:AD,IP,TCP,ACK PSH DF=1,210.128.113.251,02:E9:E5:40:00:03,54642,10.10.17.241,06:77:6B:F6:A5:AD,80,572,1,,接続フロー,138,,8,40590,06776BF6A5AD02E9E540000308004500022E8832400035060000D28071FB0A0A11F1D57200505A023119B21846D68018002E000000000101080A49A8A2CA02554688
2015-02-16 21:53:28,1424091208492567,10.10.46.88 (セキュリティ１),切断された接続上のパケット,,拒否,50,受信,06:77:6B:F6:A5:AD,IP,TCP,ACK PSH DF=1,54.249.86.41,02:E9:E5:40:00:03,41082,10.10.17.241,06:77:6B:F6:A5:AD,80,572,1,,接続フロー,138,,8,40592,06776BF6A5AD02E9E540000308004500022E6B0640003F06000036F956290A0A11F1A07A005041B1D6497FFEDA3F80180073000000000101080AA153A4CD02554776
2015-02-16 21:53:28,1424091208492567,10.10.46.88 (セキュリティ１),切断された接続上のパケット,,拒否,50,受信,06:77:6B:F6:A5:AD,IP,TCP,ACK PSH DF=1,210.128.113.251,02:E9:E5:40:00:03,60850,10.10.17.241,06:77:6B:F6:A5:AD,80,572,1,,接続フロー,138,,8,40594,06776BF6A5AD02E9E540000308004500022EFD7B400035060000D28071FB0A0A11F1EDB20050BEE498F6F1D927588018002E000000000101080A49B26F2C02554775
2015-02-16 21:53:29,1424091209537747,10.10.46.88 (セキュリティ１),切断された接続上のパケット,,拒否,50,受信,06:77:6B:F6:A5:AD,IP,TCP,ACK PSH DF=1,210.128.113.251,02:E9:E5:40:00:03,8627,10.10.17.241,06:77:6B:F6:A5:AD,80,572,1,,接続フロー,138,,8,40596,06776BF6A5AD02E9E540000308004500022EFDDE400035060000D28071FB0A0A11F121B30050F57C9579FEC97C7F8018002E000000000101080A49B27339025547DD
2015-02-16 21:53:29,1424091209693744,10.10.46.88 (セキュリティ１),切断された接続上のパケット,,拒否,50,受信,06:77:6B:F6:A5:AD,IP,TCP,ACK PSH DF=1,210.128.113.251,02:E9:E5:40:00:03,19641,10.10.17.241,06:77:6B:F6:A5:AD,80,588,1,,接続フロー,138,,8,40598,06776BF6A5AD02E9E540000308004500023E11BC400035060000D28071FB0A0A11F14CB90050591E5B80ABD0E4EC80180073000000000101080A921444D6025547ED
2015-02-16 21:53:32,1424091212174096,10.10.46.88 (セキュリティ１),切断された接続上のパケット,,拒否,50,受信,06:77:6B:F6:A5:AD,IP,TCP,ACK PSH DF=1,210.128.113.251,02:E9:E5:40:00:03,50547,10.10.17.241,06:77:6B:F6:A5:AD,80,572,1,,接続フロー,138,,8,40600,06776BF6A5AD02E9E540000308004500022E2914400035060000D28071FB0A0A11F1C5730050D2BD99CAC87A6A4D8018002E000000000101080A49A8BA64025548E5
2015-02-16 21:53:35,1424091215746428,10.10.46.88 (セキュリティ１),切断された接続上のパケット,,拒否,50,受信,06:77:6B:F6:A5:AD,IP,TCP,ACK PSH DF=1,210.128.113.251,02:E9:E5:40:00:03,27834,10.10.17.241,06:77:6B:F6:A5:AD,80,588,1,,接続フロー,138,,8,40602,06776BF6A5AD02E9E540000308004500023E5370400035060000D28071FB0A0A11F16CBA0050239815BB0C2679B780180073000000000101080A92145C7602554A4A
2015-02-16 21:53:37,1424091217665191,10.10.46.88 (セキュリティ１),切断された接続上のパケット,,拒否,50,受信,06:77:6B:F6:A5:AD,IP,TCP,ACK PSH DF=1,210.128.113.251,02:E9:E5:40:00:03,63467,10.10.17.241,06:77:6B:F6:A5:AD,80,588,1,,接続フロー,138,,8,40604,06776BF6A5AD02E9E540000308004500023E80AA400035060000D28071FB0A0A11F1F7EB0050AD8FAEC85B9E862F80180073000000000101080A9213290502554B09
2015-02-16 21:53:40,1424091220566735,10.10.46.88 (セキュリティ１),切断された接続上のパケット,,拒否,50,受信,06:77:6B:F6:A5:AD,IP,TCP,ACK PSH DF=1,210.128.113.251,02:E9:E5:40:00:03,37324,10.10.17.241,06:77:6B:F6:A5:AD,80,572,1,,接続フロー,138,,8,40606,06776BF6A5AD02E9E540000308004500022E5F7D400035060000D28071FB0A0A11F191CC0050688BC7C3630576F58018002E000000000101080A49B29E4F02554C2C
2015-02-16 21:53:42,1424091222017507,10.10.46.88 (セキュリティ１),切断された接続上のパケット,,拒否,50,受信,06:77:6B:F6:A5:AD,IP,TCP,ACK PSH DF=1,54.249.86.56,02:E9:E5:40:00:03,56120,10.10.17.241,06:77:6B:F6:A5:AD,80,572,1,,接続フロー,138,,8,40608,06776BF6A5AD02E9E540000308004500022E60CB40003F06000036F956380A0A11F1DB38005066473751B909B00F80180073000000000101080A499E501802554CBE
2015-02-16 21:53:43,1424091223374681,10.10.46.88 (セキュリティ１),切断された接続上のパケット,,拒否,50,受信,06:77:6B:F6:A5:AD,IP,TCP,ACK PSH DF=1,54.249.86.42,02:E9:E5:40:00:03,55713,10.10.17.241,06:77:6B:F6:A5:AD,80,576,1,,接続フロー,138,,8,40610,06776BF6A5AD02E9E5400003080045000232D92D40003F06000036F9562A0A0A11F1D9A100506F832454CB14F04E80180073000000000101080AA13BC50402554D46
2015-02-16 21:53:45,1424091225199846,10.10.46.88 (セキュリティ１),切断された接続上のパケット,,拒否,50,受信,06:77:6B:F6:A5:AD,IP,TCP,ACK PSH DF=1,210.128.113.251,02:E9:E5:40:00:03,18060,10.10.17.241,06:77:6B:F6:A5:AD,80,572,1,,接続フロー,138,,8,40612,06776BF6A5AD02E9E540000308004500022E1A1E400035060000D28071FB0A0A11F1468C0050BED2FDA3DCC2FA5C8018002E000000000101080A49A8ED5202554DFC
